S.No,"Roll No","Accession No",Date,Time
1,B120678CS,8902519002068,01/12/2014,"10:14:49 pm"
2,B120678CS,1234567,03/12/2014,"01:01:20 pm"
2,B120678CS,8901425052235,03/12/2014,"01:02:00 pm"
3,B120431CS,8901425052235,03/12/2014,"01:02:32 pm"
4,B120678CS,8902519002068,03/12/2014,"01:04:57 pm"
5,B120899CE,ppppp,15/12/2014,"06:17:23 pm"
6,B120678CS,8902519002068,15/12/2014,"06:18:03 pm"
7,B120899CE,8902519002068,19/12/2014,"06:35:29 pm"
7,B120899CE,8901425052235,19/12/2014,"06:35:45 pm"
8,SYAMALA,12345678,23/12/2014,"09:25:15 pm"
9,B120678CS,8902519002068,01/01/2015,"06:05:27 pm"
9,B120678CS,8902519002068,01/01/2015,"06:06:14 pm"
9,B120678CS,8902519002068,01/01/2015,"06:07:33 pm"
9,B120678CS,8901425052235,01/01/2015,"06:08:16 pm"
9,B120678CS,8901425052235,01/01/2015,"06:10:53 pm"
9,B120678CS,8902519002068,01/01/2015,"06:13:27 pm"
