S.No,"Roll No","Accession No",Date,Time
1,00CS,32,19/11/2014,"02:49:11 am"
1,00CS,43,19/11/2014,"02:49:11 am"
1,00CS,32323,19/11/2014,"02:49:11 am"
2,B00CS,22222,19/11/2014,"05:23:19 am"
2,B00CS,33333,19/11/2014,"05:23:19 am"
2,B00CS,55555,19/11/2014,"05:23:19 am"
2,B00CS,66666,19/11/2014,"05:23:19 am"
3,CS,222,19/11/2014,"06:44:49 am"
3,CS,444,19/11/2014,"06:44:49 am"
4,AB,11111,19/11/2014,"07:04:29 am"
4,AB,555555,19/11/2014,"07:04:29 am"
4,AB,33333,19/11/2014,"07:04:29 am"
5,B120678CS,8901425052235,19/11/2014,"07:31:14 am"
5,B120678CS,8901425052235,19/11/2014,"07:31:25 am"
6,AB,5432234,19/11/2014,"07:32:21 am"
7,B120899CE,8901425052235,19/11/2014,"07:38:51 am"
8,B120730CE,8901425052235,19/11/2014,"08:13:26 am"
9,B120899CE,8901425052235,19/11/2014,"08:13:49 am"
9,B120899CE,8901425052235,19/11/2014,"08:13:49 am"
9,B120899CE,8901425052235,19/11/2014,"08:13:49 am"
9,B120899CE,8902519002068,19/11/2014,"08:16:40 am"
10,CD,8902519002068,19/11/2014,"01:19:18 pm"
10,CD,902519001993,19/11/2014,"01:19:18 pm"
10,CD,902519001993,19/11/2014,"01:19:18 pm"
10,CD,8901425052235,19/11/2014,"01:19:18 pm"
11,B120531CS,12345,19/11/2014,"03:21:38 pm"
11,B120531CS,23456,19/11/2014,"03:21:38 pm"
11,B120531CS,4444444,19/11/2014,"03:21:38 pm"
12,B120678CS,8902519002068,19/11/2014,"03:44:14 pm"
12,B120678CS,8902519002068,19/11/2014,"03:45:02 pm"
12,B120678CS,8902519002068,19/11/2014,"03:47:57 pm"
12,B120678CS,8902519002068,19/11/2014,"03:50:54 pm"
12,B120678CS,8902519002068,19/11/2014,"03:51:58 pm"
12,B120678CS,8901425052235,19/11/2014,"05:46:16 pm"
12,B120678CS,8902519002068,19/11/2014,"05:46:16 pm"
12,B120678CS,902519001993,19/11/2014,"05:46:16 pm"
13,GH,8901425052235,19/11/2014,"07:36:04 pm"
14,KL,543,19/11/2014,"08:01:25 pm"
15,B110426EC,55555,19/11/2014,"08:14:13 pm"
16,B120678CS,987654,19/11/2014,"08:15:14 pm"
16,B120678CS,8902519002068,19/11/2014,"10:36:53 pm"
16,B120678CS,8902519002068,19/11/2014,"10:44:01 pm"
17,B120678CS,8902519002068,20/11/2014,"12:04:42 am"
18,B120899CE,2345643,20/11/2014,"12:06:10 am"
19,B120730CE,789458495,20/11/2014,"12:07:48 am"
20,B120678CS,57839409,20/11/2014,"12:20:05 am"
20,B120678CS,564783954545,20/11/2014,"12:20:05 am"
21,ABS,589490434,20/11/2014,"12:20:48 am"
22,PRAVEEN,65738434734,20/11/2014,"12:24:47 am"
23,B120676CS,72353453,20/11/2014,"12:26:49 am"
24,B120678CS,8901425052235,20/11/2014,"01:05:54 am"
24,B120678CS,902519001993,20/11/2014,"01:05:54 am"
25,B120773CE,5788377373,20/11/2014,"01:12:52 am"
26,B120678CS,987665,20/11/2014,"01:17:26 am"
26,B120678CS,8902519002068,20/11/2014,"02:06:33 am"
27,B120899CE,4,20/11/2014,"02:29:00 am"
28,B120678CS,8902519002068,20/11/2014,"02:43:04 am"
28,B120678CS,12345,20/11/2014,"02:43:36 am"
29,B120899CE,8989,20/11/2014,"03:23:50 am"
29,B120899CE,8901425052235,20/11/2014,"03:26:01 am"
29,B120899CE,8901425052235,20/11/2014,"03:26:01 am"
29,B120899CE,8902519002068,20/11/2014,"03:26:01 am"
29,B120899CE,8901425052235,20/11/2014,"03:26:01 am"
29,B120899CE,8901425052235,20/11/2014,"03:26:01 am"
29,B120899CE,8901425052235,20/11/2014,"03:26:01 am"
29,B120899CE,8901425052235,20/11/2014,"03:26:01 am"
29,B120899CE,8901425052235,20/11/2014,"03:26:01 am"
29,B120899CE,8901425052235,20/11/2014,"03:26:01 am"
29,B120899CE,8901425052235,20/11/2014,"03:26:01 am"
29,B120899CE,8901425052235,20/11/2014,"03:26:01 am"
29,B120899CE,8901425052235,20/11/2014,"03:26:01 am"
30,B120678CS,8901425052235,20/11/2014,"01:47:47 pm"
31,B120899CE,8902519002068,20/11/2014,"06:51:23 pm"
32,B120678CS,23122,20/11/2014,"07:05:19 pm"
33,QWERTY,45678,20/11/2014,"07:09:05 pm"
34,DFG,456789765,20/11/2014,"07:18:19 pm"
35,B120678CS,11111,20/11/2014,"07:28:53 pm"
35,B120678CS,23122,20/11/2014,"07:28:53 pm"
35,B120678CS,45678,20/11/2014,"07:28:53 pm"
35,B120678CS,45678,20/11/2014,"07:28:53 pm"
35,B120678CS,23122,20/11/2014,"07:28:53 pm"
35,B120678CS,456789,20/11/2014,"07:28:53 pm"
35,B120678CS,456789765,20/11/2014,"07:28:53 pm"
35,B120678CS,456789,20/11/2014,"07:28:53 pm"
35,B120678CS,23122,20/11/2014,"07:33:12 pm"
36,,8902519002068,20/11/2014,"10:24:26 pm"
37,B120678CS,12345,21/11/2014,"12:00:55 am"
37,B120678CS,8902519002068,21/11/2014,"12:40:07 am"
37,B120678CS,8901425052235,21/11/2014,"12:40:07 am"
37,B120678CS,2,21/11/2014,"12:41:21 am"
37,B120678CS,8902519002068,21/11/2014,"01:40:23 am"
37,B120678CS,234,21/11/2014,"01:40:23 am"
37,B120678CS,8902519002068,21/11/2014,"01:40:23 am"
37,B120678CS,8902519002068,21/11/2014,"01:40:23 am"
37,B120678CS,8902519002068,21/11/2014,"10:48:12 am"
37,B120678CS,456789765,21/11/2014,"11:55:42 am"
37,B120678CS,456789765,21/11/2014,"11:55:42 am"
37,B120678CS,8902519002068,21/11/2014,"02:30:13 pm"
37,B120678CS,8902519002068,21/11/2014,"04:05:21 pm"
37,B120678CS,8902519002068,21/11/2014,"04:27:07 pm"
37,B120678CS,8901425052235,21/11/2014,"04:27:07 pm"
37,B120678CS,456,21/11/2014,"04:27:07 pm"
37,B120678CS,3456651,21/11/2014,"04:27:07 pm"
37,B120678CS,2345654,21/11/2014,"04:27:07 pm"
37,B120678CS,8901425052235,21/11/2014,"04:29:54 pm"
37,B120678CS,8901425052235,21/11/2014,"04:29:54 pm"
37,B120678CS,8901425052235,21/11/2014,"04:29:54 pm"
37,B120678CS,8902519002068,21/11/2014,"04:31:15 pm"
37,B120678CS,8902519002068,21/11/2014,"04:35:16 pm"
37,B120678CS,8902519002068,21/11/2014,"04:37:04 pm"
37,B120678CS,8902519002068,21/11/2014,"04:38:56 pm"
37,B120678CS,8902519002068,21/11/2014,"04:39:56 pm"
37,B120678CS,8902519002068,21/11/2014,"04:40:48 pm"
37,B120678CS,8901425052235,21/11/2014,"04:40:48 pm"
37,B120678CS,902519001993,21/11/2014,"04:40:48 pm"
37,B120678CS,8902519002068,21/11/2014,"04:43:27 pm"
37,B120678CS,8901425052235,21/11/2014,"04:43:27 pm"
37,B120678CS,8901425052235,21/11/2014,"04:43:27 pm"
37,B120678CS,8901425052235,21/11/2014,"04:43:27 pm"
37,B120678CS,8901425052235,21/11/2014,"04:43:27 pm"
37,B120678CS,8902519002068,21/11/2014,"04:46:00 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:00 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:00 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:00 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:00 pm"
37,B120678CS,8902519002068,21/11/2014,"04:46:02 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:02 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:02 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:02 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:02 pm"
37,B120678CS,8902519002068,21/11/2014,"04:46:03 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:03 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:03 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:03 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:03 pm"
37,B120678CS,8902519002068,21/11/2014,"04:46:04 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:04 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:04 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:04 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:04 pm"
37,B120678CS,8902519002068,21/11/2014,"04:46:04 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:04 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:04 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:04 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:04 pm"
37,B120678CS,8902519002068,21/11/2014,"04:46:05 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:05 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:05 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:05 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:05 pm"
37,B120678CS,8902519002068,21/11/2014,"04:46:06 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:06 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:06 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:06 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:06 pm"
37,B120678CS,8902519002068,21/11/2014,"04:46:44 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:44 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:44 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:44 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:44 pm"
37,B120678CS,8902519002068,21/11/2014,"04:46:45 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:45 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:45 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:45 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:45 pm"
37,B120678CS,8902519002068,21/11/2014,"04:46:46 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:46 pm"
37,B120678CS,8901425052235,21/11/2014,"04:46:46 pm"
