S.No,"Roll No","Accession No",Date,Time
1,b120730ce,8902519002068,16/11/2014,"02:00:06 am"
1,b120730ce,8902519002068,16/11/2014,"02:00:24 am"
1,b120730ce,2,16/11/2014,"04:01:23 am"
1,b120730ce,8902519002068,16/11/2014,"05:10:41 am"
1,b120730ce,1,16/11/2014,"05:10:45 am"
1,b120730ce,1,16/11/2014,"05:26:21 am"
1,b120730ce,8901425052235,16/11/2014,"05:26:29 am"
2,b120730ce,8902519002068,17/11/2014,"04:59:03 am"
2,b120730ce,8901425052235,17/11/2014,"04:59:07 am"
3,b120730ce,67890,18/11/2014,"04:33:08 am"
3,b120730ce,678900987,18/11/2014,"04:33:08 am"
3,b120730ce,12345,18/11/2014,"04:33:56 am"
3,b120730ce,12345,18/11/2014,"04:33:56 am"
4,B120730CE,8902519002068,18/11/2014,"04:34:00 pm"
4,B120730CE,8901425052235,18/11/2014,"04:34:00 pm"
4,B120730CE,902519001993,18/11/2014,"04:34:00 pm"
5,B120730CE,8901425052235,19/11/2014,"08:13:26 am"
6,B120730CE,789458495,20/11/2014,"12:07:48 am"
7,B120730CE,8902519002068,23/11/2014,"02:20:20 am"
